Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[disease]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[genotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_STDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[organism]	Factor Value[cell type]	Factor Value[genotype]	Factor Value[disease]	Factor Value[protocol]
NW140626-II_03	ERS2154744	SAMEA104543460	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_03	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_03	sequencing assay	ERX2317405	NW140626-II_03_1.fastq.gz	NW140626-II_03_1.fastq.gz	ERR2268502	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/002/ERR2268502/ERR2268502_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_03	ERS2154744	SAMEA104543460	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_03	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_03	sequencing assay	ERX2317405	NW140626-II_03_2.fastq.gz	NW140626-II_03_2.fastq.gz	ERR2268502	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/002/ERR2268502/ERR2268502_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_04	ERS2154745	SAMEA104543461	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_04	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_04	sequencing assay	ERX2317406	NW140626-II_04_1.fastq.gz	NW140626-II_04_1.fastq.gz	ERR2268503	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/003/ERR2268503/ERR2268503_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_04	ERS2154745	SAMEA104543461	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_04	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_04	sequencing assay	ERX2317406	NW140626-II_04_2.fastq.gz	NW140626-II_04_2.fastq.gz	ERR2268503	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/003/ERR2268503/ERR2268503_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_06	ERS2154746	SAMEA104543462	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_06	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_06	sequencing assay	ERX2317407	NW140626-II_06_1.fastq.gz	NW140626-II_06_1.fastq.gz	ERR2268504	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/004/ERR2268504/ERR2268504_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_06	ERS2154746	SAMEA104543462	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_06	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_06	sequencing assay	ERX2317407	NW140626-II_06_2.fastq.gz	NW140626-II_06_2.fastq.gz	ERR2268504	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/004/ERR2268504/ERR2268504_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_08	ERS2154747	SAMEA104543463	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_08	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_08	sequencing assay	ERX2317408	NW140626-II_08_1.fastq.gz	NW140626-II_08_1.fastq.gz	ERR2268505	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/005/ERR2268505/ERR2268505_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_08	ERS2154747	SAMEA104543463	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_08	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_08	sequencing assay	ERX2317408	NW140626-II_08_2.fastq.gz	NW140626-II_08_2.fastq.gz	ERR2268505	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/005/ERR2268505/ERR2268505_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_11	ERS2154748	SAMEA104543464	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_11	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_11	sequencing assay	ERX2317409	NW140626-II_11_1.fastq.gz	NW140626-II_11_1.fastq.gz	ERR2268506	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/006/ERR2268506/ERR2268506_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_11	ERS2154748	SAMEA104543464	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_11	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_11	sequencing assay	ERX2317409	NW140626-II_11_2.fastq.gz	NW140626-II_11_2.fastq.gz	ERR2268506	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/006/ERR2268506/ERR2268506_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_12	ERS2154749	SAMEA104543465	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_12	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_12	sequencing assay	ERX2317410	NW140626-II_12_1.fastq.gz	NW140626-II_12_1.fastq.gz	ERR2268507	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/007/ERR2268507/ERR2268507_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_12	ERS2154749	SAMEA104543465	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_12	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_12	sequencing assay	ERX2317410	NW140626-II_12_2.fastq.gz	NW140626-II_12_2.fastq.gz	ERR2268507	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/007/ERR2268507/ERR2268507_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
